time_period,geographic_level,region_code,region_name,new_la_code,la_name,entitlement_type,age,number_children_sen,percentage_children_sen
2024-01-01,Local authority,E12000002,North West,E06000050,Cheshire West and Chester,15-hour entitlement,3-year-olds,138,4.1
2024-01-01,Local authority,E12000002,North West,E06000050,Cheshire West and Chester,15-hour entitlement,4-year-olds,369,10.1
2024-01-01,Local authority,E12000002,North West,E06000050,Cheshire West and Chester,15-hour entitlement,3 and 4-year-olds,507,7.2
2024-01-01,Local authority,E12000002,North West,E06000050,Cheshire West and Chester,30-hour entitlement,3-year-olds,43,2.2
2024-01-01,Local authority,E12000002,North West,E06000050,Cheshire West and Chester,30-hour entitlement,4-year-olds,40,5.4
2024-01-01,Local authority,E12000002,North West,E06000050,Cheshire West and Chester,30-hour entitlement,3 and 4-year-olds,83,3.1
2024-01-01,Local authority,E12000002,North West,E06000063,Cumberland,15-hour entitlement,3-year-olds,148,5.8
2024-01-01,Local authority,E12000002,North West,E06000063,Cumberland,15-hour entitlement,4-year-olds,317,12.3
2024-01-01,Local authority,E12000002,North West,E06000063,Cumberland,15-hour entitlement,3 and 4-year-olds,465,9.1
2024-01-01,Local authority,E12000002,North West,E06000063,Cumberland,30-hour entitlement,3-year-olds,73,4.6
2024-01-01,Local authority,E12000002,North West,E06000063,Cumberland,30-hour entitlement,4-year-olds,33,5.6
2024-01-01,Local authority,E12000002,North West,E06000063,Cumberland,30-hour entitlement,3 and 4-year-olds,106,4.8
2024-01-01,Local authority,E12000002,North West,E06000006,Halton,15-hour entitlement,3-year-olds,71,6.1
2024-01-01,Local authority,E12000002,North West,E06000006,Halton,15-hour entitlement,4-year-olds,183,13.8
2024-01-01,Local authority,E12000002,North West,E06000006,Halton,15-hour entitlement,3 and 4-year-olds,254,10.2
2024-01-01,Local authority,E12000002,North West,E06000006,Halton,30-hour entitlement,3-year-olds,31,5
2024-01-01,Local authority,E12000002,North West,E06000006,Halton,30-hour entitlement,4-year-olds,17,6.4
2024-01-01,Local authority,E12000002,North West,E06000006,Halton,30-hour entitlement,3 and 4-year-olds,48,5.4
2024-01-01,Local authority,E12000002,North West,E08000011,Knowsley,15-hour entitlement,3-year-olds,130,7.6
2024-01-01,Local authority,E12000002,North West,E08000011,Knowsley,15-hour entitlement,4-year-olds,261,13.9
2024-01-01,Local authority,E12000002,North West,E08000011,Knowsley,15-hour entitlement,3 and 4-year-olds,391,10.9
2024-01-01,Local authority,E12000002,North West,E08000011,Knowsley,30-hour entitlement,3-year-olds,47,5.1
2024-01-01,Local authority,E12000002,North West,E08000011,Knowsley,30-hour entitlement,4-year-olds,24,6.7
2024-01-01,Local authority,E12000002,North West,E08000011,Knowsley,30-hour entitlement,3 and 4-year-olds,71,5.5
2024-01-01,Local authority,E12000002,North West,E10000017,Lancashire,15-hour entitlement,3-year-olds,699,5.7
2024-01-01,Local authority,E12000002,North West,E10000017,Lancashire,15-hour entitlement,4-year-olds,1345,10.1
2024-01-01,Local authority,E12000002,North West,E10000017,Lancashire,15-hour entitlement,3 and 4-year-olds,2044,8
2024-01-01,Local authority,E12000002,North West,E10000017,Lancashire,30-hour entitlement,3-year-olds,241,3.4
2024-01-01,Local authority,E12000002,North West,E10000017,Lancashire,30-hour entitlement,4-year-olds,128,4.8
2024-01-01,Local authority,E12000002,North West,E10000017,Lancashire,30-hour entitlement,3 and 4-year-olds,369,3.8
2024-01-01,Local authority,E12000002,North West,E08000012,Liverpool,15-hour entitlement,3-year-olds,304,6.3
2024-01-01,Local authority,E12000002,North West,E08000012,Liverpool,15-hour entitlement,4-year-olds,856,15.5
2024-01-01,Local authority,E12000002,North West,E08000012,Liverpool,15-hour entitlement,3 and 4-year-olds,1160,11.2
2024-01-01,Local authority,E12000002,North West,E08000012,Liverpool,30-hour entitlement,3-year-olds,62,2.8
2024-01-01,Local authority,E12000002,North West,E08000012,Liverpool,30-hour entitlement,4-year-olds,55,6.4
2024-01-01,Local authority,E12000002,North West,E08000012,Liverpool,30-hour entitlement,3 and 4-year-olds,117,3.8
2024-01-01,Local authority,E12000002,North West,E08000003,Manchester,15-hour entitlement,3-year-olds,408,6.8
2024-01-01,Local authority,E12000002,North West,E08000003,Manchester,15-hour entitlement,4-year-olds,957,14.2
2024-01-01,Local authority,E12000002,North West,E08000003,Manchester,15-hour entitlement,3 and 4-year-olds,1365,10.7
2024-01-01,Local authority,E12000002,North West,E08000003,Manchester,30-hour entitlement,3-year-olds,70,4.4
2024-01-01,Local authority,E12000002,North West,E08000003,Manchester,30-hour entitlement,4-year-olds,32,5.1
2024-01-01,Local authority,E12000002,North West,E08000003,Manchester,30-hour entitlement,3 and 4-year-olds,102,4.6
2024-01-01,Local authority,E12000002,North West,E08000004,Oldham,15-hour entitlement,3-year-olds,229,7.9
2024-01-01,Local authority,E12000002,North West,E08000004,Oldham,15-hour entitlement,4-year-olds,431,13.7
2024-01-01,Local authority,E12000002,North West,E08000004,Oldham,15-hour entitlement,3 and 4-year-olds,660,10.9
2024-01-01,Local authority,E12000002,North West,E08000004,Oldham,30-hour entitlement,3-year-olds,38,3.4
2024-01-01,Local authority,E12000002,North West,E08000004,Oldham,30-hour entitlement,4-year-olds,30,7.1
2024-01-01,Local authority,E12000002,North West,E08000004,Oldham,30-hour entitlement,3 and 4-year-olds,68,4.4
2024-01-01,Local authority,E12000002,North West,E08000005,Rochdale,15-hour entitlement,3-year-olds,183,7.2
2024-01-01,Local authority,E12000002,North West,E08000005,Rochdale,15-hour entitlement,4-year-olds,386,13.3
2024-01-01,Local authority,E12000002,North West,E08000005,Rochdale,15-hour entitlement,3 and 4-year-olds,569,10.4
2024-01-01,Local authority,E12000002,North West,E08000005,Rochdale,30-hour entitlement,3-year-olds,49,4.6
2024-01-01,Local authority,E12000002,North West,E08000005,Rochdale,30-hour entitlement,4-year-olds,28,6.3
2024-01-01,Local authority,E12000002,North West,E08000005,Rochdale,30-hour entitlement,3 and 4-year-olds,77,5.1
2024-01-01,Local authority,E12000002,North West,E08000006,Salford,15-hour entitlement,3-year-olds,433,13.3
2024-01-01,Local authority,E12000002,North West,E08000006,Salford,15-hour entitlement,4-year-olds,641,17.9
2024-01-01,Local authority,E12000002,North West,E08000006,Salford,15-hour entitlement,3 and 4-year-olds,1074,15.7
2024-01-01,Local authority,E12000002,North West,E08000006,Salford,30-hour entitlement,3-year-olds,117,9.1
2024-01-01,Local authority,E12000002,North West,E08000006,Salford,30-hour entitlement,4-year-olds,81,12.6
2024-01-01,Local authority,E12000002,North West,E08000006,Salford,30-hour entitlement,3 and 4-year-olds,198,10.3
2024-01-01,Local authority,E12000002,North West,E08000014,Sefton,15-hour entitlement,3-year-olds,125,4.9
2024-01-01,Local authority,E12000002,North West,E08000014,Sefton,15-hour entitlement,4-year-olds,386,13.7
2024-01-01,Local authority,E12000002,North West,E08000014,Sefton,15-hour entitlement,3 and 4-year-olds,511,9.5
2024-01-01,Local authority,E12000002,North West,E08000014,Sefton,30-hour entitlement,3-year-olds,43,2.9
