time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,entitlement_type,age,number_children,number_eligible_children,percentage_eligible_children
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,15-hour entitlement,4-year-olds,2785,2815,98.9
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,15-hour entitlement,3 and 4-year-olds,5466,5483,99.7
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,15-hour entitlement,Total,4295,4454,96.4
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,15-hour entitlement,2-year-olds,473,676,70
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,15-hour entitlement,3-year-olds,1829,1841,99.4
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,15-hour entitlement,4-year-olds,1993,1938,102.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,15-hour entitlement,3 and 4-year-olds,3822,3778,101.2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,15-hour entitlement,Total,3208,3616,88.7
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,15-hour entitlement,2-year-olds,421,609,69.1
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,15-hour entitlement,3-year-olds,1261,1472,85.7
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,15-hour entitlement,4-year-olds,1526,1536,99.4
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,15-hour entitlement,3 and 4-year-olds,2787,3007,92.7
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,15-hour entitlement,Total,8258,8302,99.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,15-hour entitlement,2-year-olds,848,1270,66.8
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,15-hour entitlement,3-year-olds,3594,3419,105.1
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,15-hour entitlement,4-year-olds,3816,3613,105.6
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,15-hour entitlement,3 and 4-year-olds,7410,7032,105.4
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,15-hour entitlement,Total,4555,5024,90.7
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,15-hour entitlement,2-year-olds,463,607,76.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,15-hour entitlement,3-year-olds,1970,2152,91.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,15-hour entitlement,4-year-olds,2122,2266,93.7
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,15-hour entitlement,3 and 4-year-olds,4092,4417,92.6
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,15-hour entitlement,Total,8490,8238,103.1
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,15-hour entitlement,2-year-olds,518,682,76
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,15-hour entitlement,3-year-olds,3850,3669,104.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,15-hour entitlement,4-year-olds,4122,3887,106
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,15-hour entitlement,3 and 4-year-olds,7972,7556,105.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,15-hour entitlement,Total,7705,7892,97.6
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,15-hour entitlement,2-year-olds,669,780,85.8
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,15-hour entitlement,3-year-olds,3396,3446,98.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,15-hour entitlement,4-year-olds,3640,3666,99.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,15-hour entitlement,3 and 4-year-olds,7036,7112,98.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,15-hour entitlement,Total,5633,5687,99
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,15-hour entitlement,2-year-olds,525,648,81
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,15-hour entitlement,3-year-olds,2531,2450,103.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,15-hour entitlement,4-year-olds,2577,2590,99.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,15-hour entitlement,3 and 4-year-olds,5108,5039,101.4
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,15-hour entitlement,Total,2896,3291,88
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,15-hour entitlement,2-year-olds,402,498,80.7
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,15-hour entitlement,3-year-olds,1164,1355,85.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,15-hour entitlement,4-year-olds,1330,1438,92.5
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,15-hour entitlement,3 and 4-year-olds,2494,2793,89.3
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,15-hour entitlement,Total,4144,4525,91.6
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,15-hour entitlement,2-year-olds,549,750,73.2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,15-hour entitlement,3-year-olds,1714,1854,92.4
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,15-hour entitlement,4-year-olds,1881,1921,97.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,15-hour entitlement,3 and 4-year-olds,3595,3775,95.2
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,15-hour entitlement,Total,28256,28556,98.9
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,15-hour entitlement,2-year-olds,2685,3449,77.8
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,15-hour entitlement,3-year-olds,12268,12189,100.6
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,15-hour entitlement,4-year-olds,13303,12918,103
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,15-hour entitlement,3 and 4-year-olds,25571,25107,101.8
2024,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,15-hour entitlement,Total,11892,13312,89.3
